name,elected,party,constituency,votes,history,club,dob,education,expired,history-mp,history-senate,recent-mp,recent-senate,total-mp,total-senate,party_name,party_acronym
Ryszard Zbrzyzny,09-10-2011,Sojusz Lewicy Demokratycznej,1 Legnica,11990,"poseł II kadencji, poseł III kadencji, poseł IV kadencji, poseł V kadencji, poseł VI kadencji",Klub Poselski Sojusz Lewicy Demokratycznej,"04-05-1955, Lubawka",wyższe,None,0:1:1:1:1:1:1,0:0:0:0:0:0:0:1,7,1,7,1,Sojusz Lewicy Demokratycznej,SLD
Bogdan Zdrojewski,09-10-2011,Platforma Obywatelska,3 Wrocław,149962,"senator IV kadencji, poseł IV kadencji, poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Platforma Obywatelska,"18-05-1957, Kłodzko",wyższe,2014-05-27,0:0:0:1:1:1:1,0:0:0:1:0:0:0:1,5,1,5,2,Platforma Obywatelska,PO
Piotr Zgorzelski,09-10-2011,Polskie Stronnictwo Ludowe,16 Płock,4323,brak,Klub Parlamentarny Polskiego Stronnictwa Ludowego,"17-09-1963, Płock",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Polskie Stronnictwo Ludowe,PSL
Jarosław Zieliński,09-10-2011,Prawo i Sprawiedliwość,24 Białystok,21015,"poseł IV kadencji, poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"20-09-1960, Szwajcaria",wyższe,None,0:0:0:1:1:1:1,0:0:0:0:0:0:0:1,5,1,5,1,Prawo i Sprawiedliwość,PiS
Maciej Zieliński,09-10-2011,Platforma Obywatelska,3 Wrocław,6099,brak,Klub Parlamentarny Platforma Obywatelska,"05-01-1971, Wałbrzych",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Platforma Obywatelska,PO
Wojciech Ziemniak,09-10-2011,Platforma Obywatelska,36 Kalisz,12713,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Platforma Obywatelska,"25-03-1956, Czempiń",wyższe,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Platforma Obywatelska,PO
Jerzy Ziętek,09-10-2011,Platforma Obywatelska,31 Katowice,8960,poseł VI kadencji,Poseł niezrzeszony,"01-12-1956, Katowice",wyższe,None,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Niezrzeszony,nz.
Jan Ziobro,09-10-2011,Prawo i Sprawiedliwość,15 Tarnów,9347,brak,Klub Parlamentarny Zjednoczona Prawica,"04-09-1989, Kraków",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Zjednoczona Prawica,ZP
Kazimierz Ziobro,09-10-2011,Prawo i Sprawiedliwość,22 Krosno,8234,brak,Klub Parlamentarny Zjednoczona Prawica,"12-07-1949, Nowa Wieś",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Zjednoczona Prawica,ZP
Kosma Złotowski,09-10-2011,Prawo i Sprawiedliwość,4 Bydgoszcz,21607,"poseł III kadencji, senator VI kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"14-01-1964, Bydgoszcz",wyższe,2014-05-27,0:0:1:0:0:0:1,0:0:0:0:0:1:0:1,2,1,3,2,Prawo i Sprawiedliwość,PiS
Maria Zuba,09-10-2011,Prawo i Sprawiedliwość,33 Kielce,6222,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"06-04-1951, Suchedniów",wyższe,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Prawo i Sprawiedliwość,PiS
Wojciech Zubowski,09-10-2011,Prawo i Sprawiedliwość,1 Legnica,6800,brak,Klub Parlamentarny Prawo i Sprawiedliwość,"12-11-1979, Wrocław",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Prawo i Sprawiedliwość,PiS
Józef Zych,09-10-2011,Polskie Stronnictwo Ludowe,8 Zielona Góra,6919,"poseł X kadencji, poseł I kadencji, poseł II kadencji, poseł III kadencji, poseł IV kadencji, poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Polskiego Stronnictwa Ludowego,"23-03-1938, Giedlarowa",wyższe,None,1:1:1:1:1:1:1,0:0:0:0:0:0:0:1,8,1,8,1,Polskie Stronnictwo Ludowe,PSL
Jarosław Żaczek,09-10-2011,Prawo i Sprawiedliwość,6 Lublin,11278,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Sprawiedliwa Polska,"14-05-1967, Ryki",wyższe,2014-12-03,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,,
Jacek Żalek,09-10-2011,Platforma Obywatelska,24 Białystok,8103,poseł VI kadencji,Klub Parlamentarny Zjednoczona Prawica,"13-01-1973, Białystok",wyższe,None,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Zjednoczona Prawica,ZP
Stanisław Żelichowski,09-10-2011,Polskie Stronnictwo Ludowe,34 Elbląg,6458,"poseł IX kadencji, poseł I kadencji, poseł II kadencji, poseł III kadencji, poseł IV kadencji, poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Polskiego Stronnictwa Ludowego,"09-04-1944, Księżostany",wyższe,None,1:1:1:1:1:1:1,0:0:0:0:0:0:0:1,8,1,8,1,Polskie Stronnictwo Ludowe,PSL
Stanisław Żmijan,09-10-2011,Platforma Obywatelska,7 Chełm,14202,"poseł IV kadencji, poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Platforma Obywatelska,"13-12-1956, Tarnogród",wyższe,None,0:0:0:1:1:1:1,0:0:0:0:0:0:0:1,5,1,5,1,Platforma Obywatelska,PO
Ewa Żmuda-Trzebiatowska,09-10-2011,Platforma Obywatelska,41 Szczecin,4906,brak,Klub Parlamentarny Platforma Obywatelska,"08-09-1956, Szczecin",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Platforma Obywatelska,PO
Jerzy Żyżyński,09-10-2011,Prawo i Sprawiedliwość,21 Opole,9872,brak,Klub Parlamentarny Prawo i Sprawiedliwość,"06-08-1949, Łomża",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Prawo i Sprawiedliwość,PiS
Marek Gos,09-10-2011,Polskie Stronnictwo Ludowe,33 Kielce,4131,brak,Klub Parlamentarny Polskiego Stronnictwa Ludowego,"22-11-1969, Łopuszno",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Polskie Stronnictwo Ludowe,PSL
Henryk Smolarz,09-10-2011,Polskie Stronnictwo Ludowe,6 Lublin,6191,poseł V kadencji,Klub Parlamentarny Polskiego Stronnictwa Ludowego,"03-09-1969, Lublin",wyższe,None,0:0:0:0:1:0:1,0:0:0:0:0:0:0:1,2,1,3,1,Polskie Stronnictwo Ludowe,PSL
Andrzej Dąbrowski,09-10-2011,Prawo i Sprawiedliwość,2 Wałbrzych,4188,brak,Klub Parlamentarny Zjednoczona Prawica,"25-12-1972, Wrocław",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Zjednoczona Prawica,ZP
Jarosław Tomasz Jagiełło,09-10-2011,Prawo i Sprawiedliwość,9 Łódź,6596,"poseł V kadencji, poseł VI kadencji",Poseł niezrzeszony,"15-05-1971, Łódź",wyższe,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Niezrzeszony,nz.
Tomasz Kulesza,09-10-2011,Platforma Obywatelska,22 Krosno,6976,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Platforma Obywatelska,"14-06-1959, Jarosław",wyższe,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Platforma Obywatelska,PO
Adam Żyliński,09-10-2011,Platforma Obywatelska,34 Elbląg,6588,"poseł III kadencji, poseł VI kadencji",Klub Parlamentarny Platforma Obywatelska,"10-02-1958, Lidzbark Warmiński",wyższe,2014-12-02,0:0:1:0:0:1:1,0:0:0:0:0:0:0:1,3,1,4,1,Platforma Obywatelska,PO
Elżbieta Achinger,09-10-2011,Platforma Obywatelska,15 Tarnów,9273,brak,Klub Parlamentarny Platforma Obywatelska,"08-06-1957, Kraków",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Platforma Obywatelska,PO
Grzegorz Janik,09-10-2011,Prawo i Sprawiedliwość,30 Rybnik,5236,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"27-06-1965, Rybnik",wyższe,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Prawo i Sprawiedliwość,PiS
Elżbieta Królikowska-Kińska,09-10-2011,Platforma Obywatelska,9 Łódź,3942,brak,Klub Parlamentarny Platforma Obywatelska,"17-03-1956, Łódź",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Platforma Obywatelska,PO
Renata Janik,09-10-2011,Platforma Obywatelska,33 Kielce,3621,brak,Klub Parlamentarny Platforma Obywatelska,"18-09-1965, Zagnańsk",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Platforma Obywatelska,PO
Łukasz Tusk,09-10-2011,Platforma Obywatelska,21 Opole,8620,poseł VI kadencji,Klub Parlamentarny Platforma Obywatelska,"24-09-1985, Opole",wyższe,None,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Platforma Obywatelska,PO
Teresa Świło,09-10-2011,Platforma Obywatelska,2 Wałbrzych,4431,brak,Klub Parlamentarny Platforma Obywatelska,"23-05-1956, Niepołomice",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Platforma Obywatelska,PO
Irena Tomaszak-Zesiuk,09-10-2011,Platforma Obywatelska,37 Konin,8546,poseł VI kadencji,Klub Parlamentarny Platforma Obywatelska,"29-11-1954, Turek",wyższe,None,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Platforma Obywatelska,PO
Piotr Łukasz Babiarz,09-10-2011,Prawo i Sprawiedliwość,3 Wrocław,3575,brak,Klub Parlamentarny Prawo i Sprawiedliwość,"03-02-1975, Wrocław",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Prawo i Sprawiedliwość,PiS
Antoni Błądek,09-10-2011,Prawo i Sprawiedliwość,23 Rzeszów,9631,poseł VI kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,"14-06-1947, Przyszów",średnie zawodowe,None,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Prawo i Sprawiedliwość,PiS
Przemysław Czarnecki,09-10-2011,Prawo i Sprawiedliwość,3 Wrocław,6222,brak,Klub Parlamentarny Prawo i Sprawiedliwość,"12-09-1983, Wrocław",średnie ogólne,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Prawo i Sprawiedliwość,PiS
Piotr Krzysztof Ćwik,09-10-2011,Prawo i Sprawiedliwość,13 Kraków,3502,brak,Klub Parlamentarny Prawo i Sprawiedliwość,"17-08-1968, Kraków",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Prawo i Sprawiedliwość,PiS
Piotr Król,09-10-2011,Prawo i Sprawiedliwość,4 Bydgoszcz,5797,brak,Klub Parlamentarny Prawo i Sprawiedliwość,"26-06-1974, Bydgoszcz",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Prawo i Sprawiedliwość,PiS
Aldona Młyńczak,09-10-2011,Platforma Obywatelska,3 Wrocław,4855,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Platforma Obywatelska,"25-05-1958, Wrocław",wyższe,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Platforma Obywatelska,PO
Marek Niedbała,09-10-2011,Sojusz Lewicy Demokratycznej,39 Poznań,4442,brak,Klub Poselski Sojusz Lewicy Demokratycznej,"23-04-1965, Poznań",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Sojusz Lewicy Demokratycznej,SLD
Beata Rusinowska,09-10-2011,Platforma Obywatelska,16 Płock,8773,poseł VI kadencji,Klub Parlamentarny Platforma Obywatelska,"27-06-1967, Żyrardów",wyższe,None,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Platforma Obywatelska,PO
Jan Rzymełka,09-10-2011,Platforma Obywatelska,31 Katowice,7821,"poseł X kadencji, poseł I kadencji, poseł III kadencji, poseł IV kadencji, poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Platforma Obywatelska,"07-06-1952, Katowice",wyższe,None,1:0:1:1:1:1:1,0:0:0:0:0:0:0:1,6,1,7,1,Platforma Obywatelska,PO
Jerzy Sądel,09-10-2011,Prawo i Sprawiedliwość,28 Częstochowa,3068,brak,Klub Parlamentarny Prawo i Sprawiedliwość,"17-12-1958, Siemianowice Śląskie",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Prawo i Sprawiedliwość,PiS
Andrzej Smirnow,09-10-2011,Platforma Obywatelska,20 Warszawa,7043,"poseł I kadencji, poseł III kadencji, poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"09-09-1938, Warszawa",wyższe,None,1:0:1:0:1:1:1,0:0:0:0:0:0:0:1,4,1,6,1,Prawo i Sprawiedliwość,PiS
Kazimierz Smoliński,09-10-2011,Prawo i Sprawiedliwość,25 Gdańsk,6881,poseł VI kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,"15-07-1955, Malbork",wyższe,None,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Prawo i Sprawiedliwość,PiS
Krzysztof Sońta,09-10-2011,Prawo i Sprawiedliwość,17 Radom,9436,poseł VI kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,"06-05-1968, Radom",wyższe,None,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Prawo i Sprawiedliwość,PiS
Aleksander Sosna,09-10-2011,Platforma Obywatelska,24 Białystok,7645,brak,Klub Parlamentarny Platforma Obywatelska,"21-09-1963, Orla",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Platforma Obywatelska,PO
Michał Stuligrosz,09-10-2011,Platforma Obywatelska,39 Poznań,10692,"poseł IV kadencji, poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Platforma Obywatelska,"17-09-1950, Poznań",wyższe,None,0:0:0:1:1:1:1,0:0:0:0:0:0:0:1,5,1,5,1,Platforma Obywatelska,PO
Stanisław Chmielewski,09-10-2011,Platforma Obywatelska,38 Piła,5685,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Platforma Obywatelska,"23-10-1958, Złotów",wyższe,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Platforma Obywatelska,PO
Robert Jagła,09-10-2011,Platforma Obywatelska,2 Wałbrzych,4376,brak,Klub Parlamentarny Platforma Obywatelska,"29-11-1968, Żarów",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Platforma Obywatelska,PO
Czesław Sobierajski,09-10-2011,Prawo i Sprawiedliwość,30 Rybnik,2097,"poseł X kadencji, poseł I kadencji, poseł III kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"05-06-1952, Kielce",średnie zawodowe,None,1:0:1:0:0:0:1,0:0:0:0:0:0:0:1,2,1,4,1,Prawo i Sprawiedliwość,PiS
Marek Kwitek,09-10-2011,Prawo i Sprawiedliwość,33 Kielce,3726,poseł VI kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,"28-04-1961, Annopol",wyższe,None,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Prawo i Sprawiedliwość,PiS
Ewa Czeszejko-Sochacka,09-10-2011,Platforma Obywatelska,19 Warszawa,2466,brak,Klub Parlamentarny Platforma Obywatelska,"03-01-1954, Warszawa",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Platforma Obywatelska,PO
Robert Maciaszek,09-10-2011,Platforma Obywatelska,12 Kraków,3479,brak,Klub Parlamentarny Platforma Obywatelska,"28-09-1982, Olkusz",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Platforma Obywatelska,PO
Grażyna Ciemniak,09-10-2011,Platforma Obywatelska,4 Bydgoszcz,4590,"senator III kadencji, poseł IV kadencji, poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Platforma Obywatelska,"20-06-1948, Toruń",wyższe,None,0:0:0:1:1:1:1,0:0:1:0:0:0:0:1,5,1,5,2,Platforma Obywatelska,PO
Marcin Duszek,09-10-2011,Prawo i Sprawiedliwość,7 Chełm,5226,brak,Klub Parlamentarny Prawo i Sprawiedliwość,"10-02-1982, Łosice",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Prawo i Sprawiedliwość,PiS
Tadeusz Naguszewski,09-10-2011,Platforma Obywatelska,34 Elbląg,3850,poseł VI kadencji,Klub Parlamentarny Platforma Obywatelska,"01-06-1954, Elblag",wyższe,None,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Platforma Obywatelska,PO
Jarosław Stawiarski,09-10-2011,Prawo i Sprawiedliwość,6 Lublin,10126,poseł VI kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,"03-10-1963, Kraśnik",wyższe,None,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Prawo i Sprawiedliwość,PiS
Bożena Henczyca,09-10-2011,Platforma Obywatelska,36 Kalisz,3199,brak,Klub Parlamentarny Platforma Obywatelska,"19-04-1976, Kluczbork",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Platforma Obywatelska,PO
Grzegorz Karpiński,09-10-2011,Platforma Obywatelska,5 Toruń,6723,poseł VI kadencji,Klub Parlamentarny Platforma Obywatelska,"04-08-1976, Chełmno",wyższe,None,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Platforma Obywatelska,PO
Przemysław Krysztofiak,09-10-2011,Platforma Obywatelska,36 Kalisz,9004,brak,Klub Parlamentarny Platforma Obywatelska,"14-02-1979, Ostrów Wielkopolski",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Platforma Obywatelska,PO
Krzysztof Maciejewski,09-10-2011,Prawo i Sprawiedliwość,10 Piotrków Trybunalski,6442,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"17-04-1953, Pabianice",wyższe,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Prawo i Sprawiedliwość,PiS
Jarosław Gromadzki,09-10-2011,Ruch Palikota,26 Gdynia,3221,brak,Poseł niezrzeszony,"15-09-1979, Słupsk",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Niezrzeszony,nz.
Katarzyna Stachowicz,09-10-2011,Platforma Obywatelska,32 Sosnowiec,4263,brak,Klub Parlamentarny Platforma Obywatelska,"18-07-1977, Sosnowiec",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Platforma Obywatelska,PO
Romuald Garczewski,09-10-2011,Polskie Stronnictwo Ludowe,33 Kielce,2870,brak,Klub Parlamentarny Polskiego Stronnictwa Ludowego,"07-02-1961, Staszów",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Polskie Stronnictwo Ludowe,PSL
Urszula Pasławska,09-10-2011,Polskie Stronnictwo Ludowe,35 Olsztyn,5022,brak,Klub Parlamentarny Polskiego Stronnictwa Ludowego,"28-01-1977, Biskupiec",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Polskie Stronnictwo Ludowe,PSL
Małgorzata Woźniak,09-10-2011,Platforma Obywatelska,17 Radom,2017,brak,Klub Parlamentarny Platforma Obywatelska,"26-06-1960, Garwolin",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Platforma Obywatelska,PO
Jan Kulas,09-10-2011,Platforma Obywatelska,25 Gdańsk,7072,"poseł I kadencji, poseł III kadencji, poseł VI kadencji",Klub Parlamentarny Platforma Obywatelska,"21-07-1957, Kościerzyna",wyższe,None,1:0:1:0:0:1:1,0:0:0:0:0:0:0:1,3,1,5,1,Platforma Obywatelska,PO
Elżbieta Nawrocka,09-10-2011,Polskie Stronnictwo Ludowe,11 Sieradz,6370,brak,Klub Parlamentarny Polskiego Stronnictwa Ludowego,"19-02-1964, Wieluń",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Polskie Stronnictwo Ludowe,PSL
Halina Olendzka,09-10-2011,Prawo i Sprawiedliwość,33 Kielce,2331,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"31-08-1945, Św. Katarzyna",wyższe,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Prawo i Sprawiedliwość,PiS
Marek Poręba,09-10-2011,Platforma Obywatelska,23 Rzeszów,4271,brak,Klub Parlamentarny Platforma Obywatelska,"13-03-1969, Pilzno",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Platforma Obywatelska,PO
Urszula Rusecka,09-10-2011,Prawo i Sprawiedliwość,15 Tarnów,7787,brak,Klub Parlamentarny Prawo i Sprawiedliwość,"11-09-1966, Kraków",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Prawo i Sprawiedliwość,PiS
